gene_id,expression,sample_id,mag_id
MAG140_MAG140_MAG140_113_18,1.220857969,EX01,MAG140
MAG140_MAG140_MAG140_113_19,6.128509898,EX01,MAG140
MAG140_MAG140_MAG140_113_2,0.996978844,EX01,MAG140
MAG140_MAG140_MAG140_113_20,0.0,EX01,MAG140
MAG140_MAG140_MAG140_113_21,4.829715451,EX01,MAG140
MAG140_MAG140_MAG140_113_22,1.958505176,EX01,MAG140
MAG140_MAG140_MAG140_113_23,2.7393295,EX01,MAG140
MAG140_MAG140_MAG140_113_24,3.679105469,EX01,MAG140
MAG140_MAG140_MAG140_113_3,1.681425429,EX01,MAG140
MAG140_MAG140_MAG140_113_4,6.664240788,EX01,MAG140
MAG140_MAG140_MAG140_113_5,2.00606592,EX01,MAG140
MAG140_MAG140_MAG140_113_6,1.546587623,EX01,MAG140
MAG140_MAG140_MAG140_113_7,0.0,EX01,MAG140
MAG140_MAG140_MAG140_113_8,1.245831807,EX01,MAG140
MAG140_MAG140_MAG140_113_9,0.0,EX01,MAG140
MAG140_MAG140_MAG140_114_1,3.323454508,EX01,MAG140
MAG140_MAG140_MAG140_114_10,0.0,EX01,MAG140
MAG140_MAG140_MAG140_114_11,4.913614274,EX01,MAG140
MAG140_MAG140_MAG140_114_12,0.0,EX01,MAG140
MAG140_MAG140_MAG140_114_13,4.192700271,EX01,MAG140
MAG140_MAG140_MAG140_114_14,3.94544091,EX01,MAG140
MAG140_MAG140_MAG140_114_15,15.59270836,EX01,MAG140
MAG140_MAG140_MAG140_114_16,0.0,EX01,MAG140
MAG140_MAG140_MAG140_114_17,11.99789023,EX01,MAG140
MAG140_MAG140_MAG140_114_18,0.0,EX01,MAG140
MAG140_MAG140_MAG140_114_19,2.324337311,EX01,MAG140
MAG140_MAG140_MAG140_114_2,11.75095179,EX01,MAG140
MAG140_MAG140_MAG140_114_20,6.854111093,EX01,MAG140
MAG140_MAG140_MAG140_114_21,0.0,EX01,MAG140
MAG140_MAG140_MAG140_114_22,0.0,EX01,MAG140
MAG140_MAG140_MAG140_114_3,0.0,EX01,MAG140
MAG140_MAG140_MAG140_114_4,0.0,EX01,MAG140
MAG140_MAG140_MAG140_114_5,2.438556914,EX01,MAG140
MAG140_MAG140_MAG140_114_6,7.584381721,EX01,MAG140
MAG140_MAG140_MAG140_114_7,4.620754867,EX01,MAG140
